Source:|EM-DAT, CRED / UCLouvain, Brussels, Belgium||||||||||||||||||||||||||||||||||||||||||||||||
|www.emdat.be||||||||||||||||||||||||||||||||||||||||||||||||
Version:|2023-02-11||||||||||||||||||||||||||||||||||||||||||||||||
File creation:|Sat, 11 Feb 2023 21:46:18 CET||||||||||||||||||||||||||||||||||||||||||||||||
Table type:|Custom request||||||||||||||||||||||||||||||||||||||||||||||||
# of records:|2361||||||||||||||||||||||||||||||||||||||||||||||||
Dis No|Year|Seq|Glide|Disaster Group|Disaster Subgroup|Disaster Type|Disaster Subtype|Disaster Subsubtype|Event Name|Country|ISO|Region|Continent|Location|Origin|Associated Dis|Associated Dis2|OFDA Response|Appeal|Declaration|'AID Contribution (''000 US$)'|Dis Mag Value|Dis Mag Scale|Latitude|Longitude|Local Time|River Basin|Start Year|Start Month|Start Day|End Year|End Month|End Day|Total Deaths|No Injured|No Affected|No Homeless|Total Affected|'Reconstruction Costs (''000 US$)'|'Reconstruction Costs, Adjusted (''000 US$)'|'Insured Damages (''000 US$)'|'Insured Damages, Adjusted (''000 US$)'|'Total Damages (''000 US$)'|'Total Damages, Adjusted (''000 US$)'|CPI|Adm Level|Admin1 Code|Admin2 Code|Geo Locations
1990-0717-FIN|1990|0717||Natural|Meteorological|Storm|||Daria|Finland|FIN|Northern Europe|Europe||||||No|No|||Kph|||||1990|1|25|1990|1|26||||||||||5000|11199|44,6458774383636||||
1990-0722-FIN|1990|0722||Natural|Meteorological|Storm|||Vivian|Finland|FIN|Northern Europe|Europe||||||No|No|||Kph|||||1990|2|25|1990|2|27||||||||||5000|11199|44,6458774383636||||
1990-0004-FRA|1990|0004||Natural|Hydrological|Landslide|Avalanche|||France|FRA|Western Europe|Europe|'Tignes, Val d''Isere'|||||No|No||||||||1990|2|15|1990|2|17|14|||||||||||44,6458774383636||||
1990-0085-FRA|1990|0085||Natural|Meteorological|Extreme temperature |Heat wave|||France|FRA|Western Europe|Europe|Southwestern||||||||40|°C|||||1990|7|24|1990|7|24|5|||||||||||44,6458774383636||||
1990-0299-FRA|1990|0299||Technological|Technological|Transport accident|Road|||France|FRA|Western Europe|Europe|Near Joigny (Paris region)||||||||||||||1990|6|3|1990|6|3|11|22|||22|||||||44,6458774383636||||
1990-0153-FRA|1990|0153||Natural|Meteorological|Storm||||France|FRA|Western Europe|Europe|Massif Central, Rhone Valley|||||||||Kph|||||1990|12|9|1990|12|9||||||||||||44,6458774383636||||
1990-0717-FRA|1990|0717||Natural|Meteorological|Storm|||Daria|France|FRA|Western Europe|Europe||||||No|No|||Kph|||||1990|1|25|1990|1|26||||||||300000|671955|400000|895939|44,6458774383636||||
1990-0718-FRA|1990|0718||Natural|Meteorological|Storm|||Herta|France|FRA|Western Europe|Europe||||||No|No|||Kph|||||1990|2|3|1990|2|4|23|||||||700000|1567894|900000|2015864|44,6458774383636||||
1990-0719-FRA|1990|0719||Natural|Meteorological|Storm|||Judith|France|FRA|Western Europe|Europe||||||No|No|||Kph|||||1990|2|7|1990|2|8||||||||30000|67195|60000|134391|44,6458774383636||||
1990-0720-FRA|1990|0720||Natural|Meteorological|Storm|||Nana|France|FRA|Western Europe|Europe||||||No|No|||Kph|||||1990|2|11|1990|2|12||||||||30000|67195|60000|134391|44,6458774383636||||
