Source:|EM-DAT, CRED / UCLouvain, Brussels, Belgium||||||||||||||||||||||||||||||||||||||||||||||||
|www.emdat.be||||||||||||||||||||||||||||||||||||||||||||||||
Version:|2023-02-11||||||||||||||||||||||||||||||||||||||||||||||||
File creation:|Sat, 11 Feb 2023 21:46:46 CET||||||||||||||||||||||||||||||||||||||||||||||||
Table type:|Custom request||||||||||||||||||||||||||||||||||||||||||||||||
# of records:|522||||||||||||||||||||||||||||||||||||||||||||||||
Dis No|Year|Seq|Glide|Disaster Group|Disaster Subgroup|Disaster Type|Disaster Subtype|Disaster Subsubtype|Event Name|Country|ISO|Region|Continent|Location|Origin|Associated Dis|Associated Dis2|OFDA Response|Appeal|Declaration|'AID Contribution (''000 US$)'|Dis Mag Value|Dis Mag Scale|Latitude|Longitude|Local Time|River Basin|Start Year|Start Month|Start Day|End Year|End Month|End Day|Total Deaths|No Injured|No Affected|No Homeless|Total Affected|'Reconstruction Costs (''000 US$)'|'Reconstruction Costs, Adjusted (''000 US$)'|'Insured Damages (''000 US$)'|'Insured Damages, Adjusted (''000 US$)'|'Total Damages (''000 US$)'|'Total Damages, Adjusted (''000 US$)'|CPI|Adm Level|Admin1 Code|Admin2 Code|Geo Locations
2018-0316-PNG|2018|0316||Natural|Geophysical|Earthquake|Ground movement|||Papua New Guinea|PNG|Melanesia|Oceania|South Highlands|||||||||Richter|-6.307|142.62|05:56||2018|3|5|2018|3|5|11|||||||||||85,8030260572654|1|2305||Southern Highlands (Adm1). 
2018-0317-PNG|2018|0317||Natural|Geophysical|Earthquake|Ground movement|||Papua New Guinea|PNG|Melanesia|Oceania|Hela (South Highlands)||||||||7|Richter|-6.294|142.607|00:13||2018|3|7|2018|3|7|25|||||||||||85,8030260572654|1|2305||Southern Highlands (Adm1). 
2018-0017-PNG|2018|0017|VO-2018-000002|Natural|Geophysical|Volcanic activity||||Papua New Guinea|PNG|Melanesia|Oceania|Manot, Taragauo, Dong Sarakbano, Niukatnam, Rumgio (Kadovar islands)||||||||||||||2018|1|5|2018|1|6|||736||736|||||||85,8030260572654|2||37488|Wewak (Adm2). 
2019-0098-PNG|2019|0098||Natural|Hydrological|Flood|Flash flood|||Papua New Guinea|PNG|Melanesia|Oceania|Gazelle, Pomio, Rabaul, Kokopo districts (East New Britain province)|Heavy rains|Slide (land, mud, snow, rock)|||||||Km2|||||2019|2|11|2019|2|25|2|||350|350|||||||87,3580067738847|1|2292||East New Britain (Adm1). 
2019-0271-PNG|2019|0271||Natural|Geophysical|Earthquake|Ground movement|||Papua New Guinea|PNG|Melanesia|Oceania|New Ireland, New Britain, Duke of York Islands||||||||8|Richter|-4.051|152.6|||2019|5|14|2019|5|14||1|650||651|||||||87,3580067738847|1|2292;2302;2306||East New Britain, New Ireland, West New Britain (Adm1). 
2019-0298-PNG|2019|0298||Natural|Geophysical|Volcanic activity|Ash fall||Mount Ulawun and Manam|Papua New Guinea|PNG|Melanesia|Oceania|West New Britain||||||||||||||2019|6|28|2019|6|28|||15800||15800|||||||87,3580067738847|1|2306||West New Britain (Adm1). 
2019-0158-PNG|2019|0158||Natural|Hydrological|Landslide|Landslide|||Papua New Guinea|PNG|Melanesia|Oceania|Tsak valley (Wapenamanda District, Enga Province, Highlands Region)|Heavy rains|||||||||||||2019|4|15|2019|4|15|10|||||||||||87,3580067738847|2||37500|Wapenamanda (Adm2). 
2016-0483-SLB|2016|0483|EQ-2016-000128|Natural|Geophysical|Earthquake|Ground movement|||Solomon Islands|SLB|Melanesia|Oceania|Malaita, Makira-Ulawa, Temotu provinces||Tsunami/Tidal wave||||||8|Richter|-10.676|161.33|04.39||2016|12|8|2016|12|8||1|9769||9770|||||||82,010330903136|2||25652|Administrative unit not available (Adm2). 
2016-0392-SLB|2016|0392||Natural|Biological|Epidemic|Viral disease||Dengue|Solomon Islands|SLB|Melanesia|Oceania|Guadalcanal (including Honiara), Malaita, Isabel provinces|||||||||Vaccinated|||||2016|10|8|2016|11|||1212|||1212|||||||82,010330903136||||
2016-0528-VUT|2016|0528|EP-2017-000006-VUT|Natural|Biological|Epidemic|Viral disease||Dengue|Vanuatu|VUT|Melanesia|Oceania|Efate, Urban Port vila; Sola (Torba); Luganville (Sanma); Emae (Shefa); Norsup (Malampa province); Lenakel (Tanna, Tafea province)|||||||||Vaccinated|||||2016|11|30|2017|3|19||351|||351|||||||82,010330903136||||
2017-0394-VUT|2017|0394|VO-2017-000140|Natural|Geophysical|Volcanic activity|Ash fall||Mt Monaro|Vanuatu|VUT|Melanesia|Oceania|Ambae, Ni-Vanuatu island||||||Yes||||||||2017|9|23|2017|10|2|||11000||11000|||||||83,7572545519631|1|3297||Penama (Adm1). 
2017-0231-VUT|2017|0231|TC-2017-000045|Natural|Meteorological|Storm|Tropical cyclone||'Tropical cyclone ''Donna'''|Vanuatu|VUT|Melanesia|Oceania|Torba, Malampa, Sanma provinces||||||||215|Kph|||||2017|5|7|2017|5|12|||2564||2564|||||||83,7572545519631|1|3296;3298;3301||Malampa, Sanma, Torba (Adm1). 
2018-0456-VUT|2018|0456|VO-2018-000424|Natural|Geophysical|Volcanic activity|Ash fall||Ambryn|Vanuatu|VUT|Melanesia|Oceania|Malampa province||Earthquake||||||||||||2018|12|15|2018|12|18|||7286||7286|||||||85,8030260572654|1|3296||Malampa (Adm1). 
2018-0469-SLB|2018|0469|TC-2018-000427|Natural|Meteorological|Storm|Tropical cyclone||'Tropical cyclone ''Penny'''|Solomon Islands|SLB|Melanesia|Oceania|Malaita, Western, Guadalcana, Isabel, Makita provinces||Flood|||||||Kph|||||2018|12|29|2018|12|29|||1000||1000|||||||85,8030260572654|1|2687||Administrative unit not available (Adm1). 
2018-0042-TON|2018|0042|TC-2018-000102|Natural|Meteorological|Storm|Tropical cyclone||Cyclone Gita|Tonga|TON|Polynesia|Oceania|Tongatapu, Ha’apai and Eua islands||Flood||Yes||Yes||285|Kph|||||2018|2|12|2018|2|13|||87000||87000|||||||85,8030260572654|2||27407|Administrative unit not available (Adm2). 
2018-0042-WSM|2018|0042|TC-2018-000102|Natural|Meteorological|Storm|Tropical cyclone||Cyclone Gita|Samoa|WSM|Polynesia|Oceania|||Flood|||||||Kph|||||2018|2|12|2018|2|12||||||||||||85,8030260572654|1|2618||Administrative unit not available (Adm1). 
2018-0147-VUT|2018|0147||Natural|Geophysical|Volcanic activity|Ash fall||Aoba (Manaro Voui)|Vanuatu|VUT|Melanesia|Oceania|Ambae||||||Yes||||||||2018|3||2018|5||||6300||6300|||||||85,8030260572654||||
2018-0399-MNP|2018|0399||Natural|Meteorological|Storm|Tropical cyclone||'Typhoon ''Yutu'' (Rosita)'|Northern Mariana Islands (the)|MNP|Micronesia|Oceania|Tinian, Saipan||||||||290|Kph|||||2018|10|25|2018|10|25|2|||||||||||85,8030260572654|1|2243||Administrative unit not available (Adm1). 
2019-0545-AUS|2019|0545|WF-2019-000183|Natural|Climatological|Wildfire|Land fire (Brush, Bush, Pasture)||Currowan|Australia|AUS|Australia and New Zealand|Oceania|New South Wales, Queensland; Victoria; South Australia, Western Australia|High temperatures and dry conditions|Pollution|Heat wave|||Yes||169967|Km2|||||2019|9|1|2020|2||32|24|1959|6900|8883|||||2000000|2289430|87,3580067738847|1|470;473;474;476;477||New South Wales, Queensland, South Australia, Victoria, Western Australia (Adm1). 
2020-0019-AUS|2020|0019||Natural|Meteorological|Storm|Convective storm|Lightning/Thunderstorms||Australia|AUS|Australia and New Zealand|Oceania|New South Wales , Victoria States ||Slide (land, mud, snow, rock)|Flood|||Yes|||Kph|||||2020|1|19|2020|1|21||||||||1000000|1130766|1500000|1696149|88,4356408059336|1|470;476||New South Wales, Victoria (Adm1). 
2020-0053-AUS|2020|0053||Natural|Hydrological|Flood||||Australia|AUS|Australia and New Zealand|Oceania|New South Wales|Heavy rains|Storm|||||||Km2|||||2020|2|4|2020|2|11|1|||||||||1200000|1356919|88,4356408059336|1|470||New South Wales (Adm1). 
2020-0595-AUS|2020|0595||Natural|Meteorological|Storm|Convective storm|Hail||Australia|AUS|Australia and New Zealand|Oceania|Brisbane||||||Yes|||Kph|||||2020|10|31|2020|10|31||||||||||1200000|1356919|88,4356408059336|2||154654|Brisbane (C) (Adm2). 
2021-0125-AUS|2021|0125||Natural|Meteorological|Storm|Tropical cyclone||'Tropial cylone ''Niran'''|Australia|AUS|Australia and New Zealand|Oceania|Queensland and New South Wales||Flood||||||120|Kph|||||2021|2|25|2021|3|4|||6000||6000|||||155000|167404|92,5901929309929|1|470;473||New South Wales, Queensland (Adm1). 
2021-0334-AUS|2021|0334||Natural|Hydrological|Flood|Flash flood|||Australia|AUS|Australia and New Zealand|Oceania|Victoria, New South Wales, Queensland, and South Australia|||||||||Km2|||||2021|6|9|2021|6|11|2||600||600|||317000|342369|330000|356409|92,5901929309929|1|470;473;474;476||New South Wales, Queensland, South Australia, Victoria (Adm1). 
2021-0173-AUS|2021|0173||Natural|Meteorological|Storm|Tropical cyclone||'Tropical cyclone ''Seroja-21'''|Australia|AUS|Australia and New Zealand|Oceania|Kalbarri and Northampton Town||||||||155|Kph|||||2021|4|11|2021|4|11|1||2625||2625|||||530000|572415|92,5901929309929|2||5529|Northampton (S) (Adm2). 
2021-0058-AUS|2021|0058||Natural|Climatological|Wildfire|Land fire (Brush, Bush, Pasture)|||Australia|AUS|Australia and New Zealand|Oceania|Perth region|||||||||Km2|||||2021|2|1|2021|2|7||||243|243|||46000|49681|120000|129603|92,5901929309929|2||5533|Perth (C) (Adm2). 
2021-0103-AUS|2021|0103||Natural|Hydrological|Flood||||Australia|AUS|Australia and New Zealand|Oceania|Northern Territory State |Heavy rains||||||||Km2|||||2021|2|23|2021|2|26|||250||250|||||||92,5901929309929|1|471||Northern Territory (Adm1). 
2021-0169-AUS|2021|0169||Natural|Hydrological|Flood||||Australia|AUS|Australia and New Zealand|Oceania|Greater Sidney, Hunter, Mid North Coast, Clearance Nambucca Regions (New South Wales); Queensland|Heavy rains||||||||Km2|||||2021|3|18|2021|3|19|2||18000||18000|||410000|442811|2100000|2268059|92,5901929309929|1|470;473||New South Wales, Queensland (Adm1). 
2021-0807-AUS|2021|0807||Natural|Hydrological|Flood||||Australia|AUS|Australia and New Zealand|Oceania|New South Wales and Queensland|||||||||Km2||||Upper Lachlan River|2021|11|15|2021|12|1|2||1000||1000|||||100000|108003|92,5901929309929|1|470;473||New South Wales, Queensland (Adm1). 
2019-0642-FJI|2019|0642|TC-2019-000180|Natural|Meteorological|Storm|Tropical cyclone||'Tropical cyclone ''Sarai'''|Fiji|FJI|Melanesia|Oceania|Ba, Nadroga, Lau, Kadavu|||||||||Kph|||||2019|12|26|2019|12|26|1||7780||7780|||||||87,3580067738847|2||40196;40197;40203;40204|Ba, Kadavu, Lau, Nadroga & Navosa (Adm2). 
2019-0531-FJI|2019|0531|EP-2019-000139|Natural|Biological|Epidemic|Viral disease||Measles|Fiji|FJI|Melanesia|Oceania|Wainadoi, Nabukavesi, Namosi, Navua, Deuba|||||||||Vaccinated|||||2019|11||2019|11|||14|||14|||||||87,3580067738847||||
2019-0598-NZL|2019|0598||Natural|Geophysical|Volcanic activity|Ash fall||Whakaari/White Island volcano|New Zealand|NZL|Australia and New Zealand|Oceania|Whakaari/White Island ||||||||||||||2019|12|9|2019|12|9|21|23|||23|||||||87,3580067738847|1|2172||Bay Of Plenty (Adm1). 
2020-0554-FJI|2020|0554|TC-2020-000238|Natural|Meteorological|Storm|Tropical cyclone||'Cyclone ''Yasa'''|Fiji|FJI|Melanesia|Oceania|Lau group, Vanua Levu, Taveuni, Kadavu||Flood|Slide (land, mud, snow, rock)|Yes||Yes||345|Kph|||||2020|12|17|2020|12|18|5||22000||22000|||||1120|1266|88,4356408059336|2||40196;40197;40200;40201;40202|Bua, Cakaudrove, Kadavu, Lau, Macuata (Adm2). 
2020-0015-FJI|2020|0015||Natural|Meteorological|Storm|Tropical cyclone||'Cyclone ''Tino'''|Fiji|FJI|Melanesia|Oceania|Viti Levu Island||||||||155|Kph|||||2020|1|17|2020|1|18|2||3115||3115|||||||88,4356408059336|1|40187;40190||Central, Western (Adm1). 
2020-0132-FJI|2020|0132|TC-2020-000049; TC-2020-000051|Natural|Meteorological|Storm|Tropical cyclone||'Cyclone ''Harold'''|Fiji|FJI|Melanesia|Oceania|Kadavvu, Southern Lau, Matuku, Vatulele |||||||||Kph|||||2020|4|8|2020|4|9|1||180000||180000|||||13000|14700|88,4356408059336|2||40196;40197;40204|Kadavu, Lau, Nadroga & Navosa (Adm2). 
2020-0428-NZL|2020|0428||Natural|Climatological|Wildfire|Forest fire|||New Zealand|NZL|Australia and New Zealand|Oceania|Lake Ohau (Canterbury)|High winds||||||||Km2|||||2020|10|4|2020|10|5|||195||195|||||10000|11308|88,4356408059336|1|2173||Canterbury (Adm1). 
2020-0043-NZL|2020|0043||Natural|Hydrological|Flood||||New Zealand|NZL|Australia and New Zealand|Oceania|Gore district (Southland); Clutha District (Otago)|Hevay rains|||||Yes|||Km2||||Matura|2020|2|1|2020|2|5|||2400||2400|||||29000|32792|88,4356408059336|1|2178;2179||Otago, Southland (Adm1). 
2020-0543-NZL|2020|0543||Natural|Hydrological|Flood||||New Zealand|NZL|Australia and New Zealand|Oceania|Napier (Hawke’s Bay region)|Heavy rains|||||Yes|||Km2|||||2020|11|9|2020|11|10|||300||300|||||71000|80284|88,4356408059336|1|2175||'Hawke''s Bay (Adm1). '
2021-0499-NZL|2021|0499||Natural|Hydrological|Flood||||New Zealand|NZL|Australia and New Zealand|Oceania|Marlborough and Buller districts||Slide (land, mud, snow, rock)||||Yes|||Km2|||||2021|7|15|2021|7|17|||200||200|||||140000|151204|92,5901929309929|1|2176;2184||Nelson-marlborough, Westland (Adm1). 
2021-0070-FJI|2021|0070||Natural|Meteorological|Storm|Tropical cyclone||'Tropical cyclone ''Ana'''|Fiji|FJI|Melanesia|Oceania|Viti levu||||||||140|Kph|||||2021|1|30|2021|1|31|6||82751||82751|||||10000|10800|92,5901929309929|2||40191;40192;40193;40194;40195;40203;40204;40205|Ba, Nadroga & Navosa, Naitasiri, Namosi, Ra, Rewa, Serua, Tailevu (Adm2). 
2021-0125-NCL|2021|0125||Natural|Meteorological|Storm|Tropical cyclone||'Tropial cylone ''Niran'''|New Caledonia|NCL|Melanesia|Oceania||||||||||Kph|||||2021|3|5|2021|3|7||||||||||||92,5901929309929|1|2170||Administrative unit not available (Adm1). 
2021-0317-NZL|2021|0317||Natural|Meteorological|Storm|Convective storm|Tornado||New Zealand|NZL|Australia and New Zealand|Oceania|Aukland City (North Island, northern New Zealand)|||||||||Kph|||||2021|6|19|2021|6|19|1||750||750|||||30000|32401|92,5901929309929|1|2171||Auckland (Adm1). 
2021-0298-NZL|2021|0298||Natural|Hydrological|Flood||||New Zealand|NZL|Australia and New Zealand|Oceania|West Coast, Auckland and Otago (Canterbury Region)|Heavy rains|||||Yes|||Km2|||||2021|5|29|2021|6|1|||750||750|||||50000|54001|92,5901929309929|1|2171;2178||Auckland, Otago (Adm1). 
2021-0611-NZL|2021|0611||Natural|Hydrological|Flood||||New Zealand|NZL|Australia and New Zealand|Oceania|Kumeu, Huapai, Ranui, Piha and Henderson Valley communities (Auckland area)|Heavy rains||||||||Km2|||||2021|8|30|2021|9|1|||180||180|||||57000|61562|92,5901929309929|1|2171||Auckland (Adm1). 
2015-9621-PLW|2015|9621||Natural|Climatological|Drought|Drought|||Palau|PLW|Micronesia|Oceania||Poor rainfall, El Nino|||Yes|||||Km2|||||2015|10||2016|3||||14200||14200|||||||80,9885789905908||||
2016-0579-PNG|2016|0579||Natural|Hydrological|Flood||||Papua New Guinea|PNG|Melanesia|Oceania|Jiwaka, Morobe, and Simbu provinces|Heavy rains|||Yes|||||Km2|||||2016|2||2016|2||||6600||6600|||||||82,010330903136|1|2300||Morobe (Adm1). 
2019-0528-TON|2019|0528||Natural|Biological|Epidemic|Viral disease||Measles|Tonga|TON|Polynesia|Oceania||||||||||Vaccinated|||||2019|10||2019|10|28||107|||107|||||||87,3580067738847||||
2019-0531-TON|2019|0531|EP-2019-000139|Natural|Biological|Epidemic|Viral disease||Measles|Tonga|TON|Polynesia|Oceania||||||||||Vaccinated|||||2019|10|22|2019|11|19||394|||394|||||||87,3580067738847||||
2019-0531-WSM|2019|0531|EP-2019-000139|Natural|Biological|Epidemic|Viral disease||Measles|Samoa|WSM|Polynesia|Oceania|Upolu and Savaii||||||Yes||54046|Vaccinated|||||2019|8||2020|1||83|5617|||5617|||||||87,3580067738847|1|2618||Administrative unit not available (Adm1). 
2020-0111-PNG|2020|0111||Natural|Hydrological|Flood||||Papua New Guinea|PNG|Melanesia|Oceania|Western Highlands, Chimbu provinces|Heavy rains|Slide (land, mud, snow, rock)|||||||Km2||||Wahgi River|2020|3|21|2020|3|24|12||700||700|||||||88,4356408059336|1|2291;2309||Chimbu, Western Highlands (Adm1). 
2020-0132-SLB|2020|0132|TC-2020-000049; TC-2020-000051|Natural|Meteorological|Storm|Tropical cyclone||'Cyclone ''Harold'''|Solomon Islands|SLB|Melanesia|Oceania|Espiritu Santo, Malakula, Ambae, Pentecost, Maewo Islands; Guadalcanal, Makira-Ulawa, and Rennell and Bellona provinces||Transport accident||||||215|Kph|||||2020|4|2|2020|4|3|48||150000||150000|||||||88,4356408059336|1|2687||Administrative unit not available (Adm1). 
2020-0047-PNG|2020|0047||Natural|Hydrological|Flood|Flash flood|||Papua New Guinea|PNG|Melanesia|Oceania|Mul-Baiyer District (Western Highlinds Province)|||||||||Km2||||Kuma River|2020|2|5|2020|2|6|7||200||200|||||||88,4356408059336|2||37564|Hagen North (Adm2). 
2020-0138-PNG|2020|0138||Natural|Hydrological|Flood|Riverine flood|||Papua New Guinea|PNG|Melanesia|Oceania|Moripi, Toaripi, Taure Lakekamu, Malalaua Urban, Kaipi Melaripi, Kerema Urban, Ihu East, Ihu West and Baimuru|Torrential rains||||||||Km2||||Rumu river|2020|4|4|2020|4|7|||60000||60000|||||||88,4356408059336|2||37501;37502;37504;37506|Baimuru, Ihu, Kerema, Malalaua (Adm2). 
2020-0146-PNG|2020|0146||Natural|Hydrological|Landslide|Landslide|||Papua New Guinea|PNG|Melanesia|Oceania|Kundiawa-Gembogl District, Chimbu Province |Heavy rains|||||||||||||2020|4|10|2020|4|10|10||100||100|||||||88,4356408059336|2||37476;37480|Gembogl, Kundiawa (Adm2). 
2020-0571-PNG|2020|0571||Natural|Hydrological|Landslide|Landslide|||Papua New Guinea|PNG|Melanesia|Oceania|Saki village (Goilala district)|Heavy rains|||||||||||||2020|12|29|2020|12|30|13|||||||||||88,4356408059336|2||37471|Goilala (Adm2). 
2020-0132-TON|2020|0132|TC-2020-000049; TC-2020-000051|Natural|Meteorological|Storm|Tropical cyclone||'Cyclone ''Harold'''|Tonga|TON|Polynesia|Oceania|'Tongatapu, ''Eua'||||||||222|Kph|||||2020|4|6|2020|4|9|||25000||25000|||||111000|125515|88,4356408059336|1|2976||Administrative unit not available (Adm1). 
2020-0015-TUV|2020|0015||Natural|Meteorological|Storm|Tropical cyclone||'Cyclone ''Tino'''|Tuvalu|TUV|Polynesia|Oceania|||||||Yes|||Kph|||||2020|1|18|2020|1|18|||5500||5500|||||||88,4356408059336|1|3103||Administrative unit not available (Adm1). 
2020-0132-VUT|2020|0132|TC-2020-000049; TC-2020-000051|Natural|Meteorological|Storm|Tropical cyclone||'Cyclone ''Harold'''|Vanuatu|VUT|Melanesia|Oceania| Pentecost, Espiritu Santo, Penama, Sanma, Malampa, Shefa, Torba||||||||252|Kph|||||2020|4|6|2020|4|6|3|120|130000||130120|||||||88,4356408059336|1|3297;3298||Penama, Sanma (Adm1). 
2021-0236-PLW|2021|0236|TC-2021-000040|Natural|Meteorological|Storm|Tropical cyclone||'Tropical cyclone ''Surigae'''|Palau|PLW|Micronesia|Oceania|Anguar, Peleliu, Kayangel, Koror||Surge||Yes||||136|Kph|||||2021|4|13|2021|4|16|||7288||7288|||||||92,5901929309929|1|2278||Administrative unit not available (Adm1). 
2021-9547-TUV|2021|9547|DR-2021-000120|Natural|Climatological|Drought|Drought|||Tuvalu|TUV|Polynesia|Oceania|Funafuti with Nukufetau (central); Nanumea, Nanumaga, Niutao, Nui, Vaitupu (northern) |||||||||Km2|||||2021|1||2021|6||||10204||10204|||||||92,5901929309929|1|3103||Administrative unit not available (Adm1). 
2021-0847-VUT|2021|0847|VO-2021-000174|Natural|Geophysical|Volcanic activity|Ash fall||'Volcano ''Yasur'''|Vanuatu|VUT|Melanesia|Oceania|||||||||||||||2021|10|21|2021|10|22|||3383||3383|||||||92,5901929309929||||
